"","id","true value","MSM U included","MSM U excluded","SF method","BSA: time varying","BSA: time fixed"
"56",56,-10.2716121034585,-10.0810605826897,-11.1827360831223,-10.3370460429587,-9.44279692372686,-10.6236451325956
"57",57,-10.2683432345371,-10.1627740264528,-11.5569837024674,-10.6467472641761,-8.86414669811709,-10.3422233087782
"58",58,-10.2710197532733,-10.629743292734,-12.2692257491577,-11.172133602528,-11.3064340726404,-11.7530499145603
"59",59,-10.2680106121888,-8.65057086320845,-11.0329371469767,-10.206509488454,-10.3069258733566,-10.8585538559307
"60",60,-10.274107457949,-9.41116145955913,-10.2192880138069,-9.55785221703674,-9.42224848555566,-9.62289376369435
"61",61,-10.2651582383031,-9.29562099652294,-11.1344291423606,-10.3680359731807,-9.80947885278709,-10.1612578621293
"62",62,-10.2722572602472,-9.33571913337277,-10.8091642108241,-10.1328823406606,-9.4041425916652,-10.135641748695
"63",63,-10.2664975345512,-9.57593347078501,-10.3236227118996,-9.69676667006351,-9.79593392231487,-10.1820245309813
"64",64,-10.267394833896,-9.51977864113793,-10.9042558787216,-9.88597514174018,-10.3237723289364,-10.8227079435276
"65",65,-10.2800861490227,-10.4777423167351,-12.1841311156141,-11.3057012842745,-10.9653957024785,-11.1704953952662
"66",66,-10.2732814178232,-10.6612561116225,-12.0530394463283,-11.2145577399921,-11.5583015992588,-11.875782330512
"67",67,-10.2695098120698,-10.1067065454124,-11.0761469309078,-10.2598143649292,-9.0414510779472,-8.34908053029202
"68",68,-10.2667300470446,-9.762203780191,-11.0425815892784,-10.2160405488277,-9.73645191899284,-10.2941320562349
"69",69,-10.2691673986714,-8.77291287546199,-9.9023177281464,-9.3435512924405,-8.023056375631,-9.38046700156772
"70",70,-10.269752430928,-9.82975530995065,-11.1976237231513,-10.4011130537476,-10.5921503693103,-10.5845327930803
"71",71,-10.2686346469346,-10.1478627830097,-10.9613372932234,-9.92362660326189,-9.77320479420064,-10.2106426705106
"72",72,-10.2761828833187,-9.47864748608818,-11.0146445150972,-10.0127160920467,-9.76481277542142,-10.6862372877691
"73",73,-10.2661256099754,-10.1837360908671,-11.6413353029904,-10.6949813241355,-8.50788676695085,-10.3039928143107
"74",74,-10.2689061131099,-10.858112543966,-11.9140012781326,-10.9344415942841,-10.7104945054634,-11.1239661460496
"75",75,-10.2754788041041,-11.0866586622137,-11.9488907022233,-11.0916430623772,-9.98820403336665,-10.0760182547828
"76",76,-10.278758590578,-10.7152468936807,-11.7064931005626,-10.7455862281262,-9.99136249073656,-11.0356506999241
"77",77,-10.27518723911,-10.8825336421851,-11.97919239367,-10.8216253195615,-10.7170174721491,-11.8650724712391
"78",78,-10.2592685472216,-9.14651399551629,-11.510401247286,-10.6843706213498,-10.2762786399099,-10.6253848052123
"79",79,-10.2644939869279,-9.98379544306622,-11.683241910909,-10.8261790908285,-10.2498989862245,-11.3352700694254
"80",80,-10.2775240786262,-10.0839663489775,-11.0000236123952,-10.2188487667533,-9.78803441650206,-10.0825293416859
"81",81,-10.2757072350481,-9.84682109838751,-10.7305646481986,-10.1367437886561,-10.2151813767654,-11.0963207202506
"82",82,-10.2670665716351,-10.7814140894234,-11.7256978813992,-10.7015560184803,-10.6269903716668,-11.274892788093
"83",83,-10.2677338995584,-10.2892265969293,-11.7435564285913,-11.0602656821319,-10.4830776272877,-11.1781612326923
"84",84,-10.2705775628787,-10.1264268151568,-11.4833750845839,-10.4269141454683,-9.82912323962277,-11.2168618733184
"85",85,-10.2647538873693,-9.76429736023703,-11.1341354181948,-10.1744065490462,-10.920173121597,-10.9409734491004
"86",86,-10.2703634030507,-10.5261594864673,-11.487674477849,-10.4965108561549,-9.11295724611252,-10.0506868686659
"87",87,-10.2718484420913,-9.66039663934478,-11.0557179511488,-10.3157084076504,-9.96111726180915,-10.4159624884894
"88",88,-10.2699570912312,-9.08477123008215,-10.6580953692089,-9.92724132202419,-9.7028004536375,-10.3346873094546
"89",89,-10.2650254071425,-11.0361858194163,-12.4650548375638,-11.3986296682108,-11.0094060657903,-11.8539536752009
"90",90,-10.271032124409,-9.84921654315592,-10.9526041337293,-9.9704659406816,-9.48059511131754,-9.93514622439009
"91",91,-10.2655577284499,-10.8036624383952,-11.9860384526949,-10.9875263390679,-10.7956306451203,-11.2642625605314
"92",92,-10.2755016813927,-10.7312331349677,-11.4220950762642,-10.6534602152144,-10.5318578388874,-10.8017111223265
"93",93,-10.2628635280773,-10.8941367136216,-11.7280604173998,-10.9845075587154,-9.44457695127374,-10.6275097052591
"94",94,-10.2686475980719,-10.5958400193746,-11.5942979913862,-10.4305181391023,-10.7120044246032,-10.2411099960878
"95",95,-10.2658229006124,-9.95065914843008,-10.9670332098435,-10.272898698158,-9.95539167083096,-10.3603824929203
"96",96,-10.272772594212,-10.8832105195486,-11.5166054605507,-10.5991110581433,-9.19585508049889,-10.6896171175898
"97",97,-10.2703486848209,-7.81081424034953,-12.1138940398516,-10.9619818334836,-11.1513306905029,-11.9778442340543
"98",98,-10.2652193802817,-9.57790469404584,-10.9360049834829,-10.0420402345626,-9.60154540741318,-10.3742739372073
"99",99,-10.2597352077017,-10.2975671054443,-10.8888479594062,-10.1040872552087,-9.16366510338091,-9.81949318009823
"100",100,-10.2698777712895,-10.8964399502637,-11.9084150030961,-10.9678989982627,-9.38908671398259,-10.9591571160993
"101",101,-10.2667082198772,-10.8735119525192,-12.0147382696253,-10.9089173630818,-9.7350112340186,-10.8862278672599
"102",102,-10.2634889722419,-10.7045910115841,-11.4169062625298,-10.5137335528491,-9.62802208513444,-10.0794525596314
"103",103,-10.2617177626766,-10.123464989621,-11.5720206365063,-10.8131097734501,-8.43647333872278,-10.2353807117429
"104",104,-10.2627312693254,-10.555920431764,-11.8250621265638,-10.8009918446711,-10.6842638574462,-11.5133961747906
"105",105,-10.2679748237444,-10.5972218380528,-11.9398208943443,-11.1483476578779,-7.46642652095868,-8.90380077179099
"106",106,-10.2636567624257,-10.4261803894363,-11.8139269486105,-10.9025480180118,-9.25343956259809,-9.10706575787791
"107",107,-10.2606211184805,-10.7799727098342,-12.2297233255091,-11.1817888089686,-9.44899706630383,-11.2674047492847
"108",108,-10.2723276406302,-11.2013839249057,-12.3743923653753,-11.3800720541302,-10.8452666204968,-11.1757572590723
