"","True Value","MSM with U","MSM without U","SF (MSM)","SF (BMSM)","SF (MSM, h=2)","SF (BMSM, h=2)","BSA time varying","BSA constant"
"17",-10.2692113063343,-10.5889854246606,-12.1070180326518,-10.7084394488395,-10.6635481126605,-10.7261115206844,-10.667864686098,-10.5489712876142,-11.5365637724825
"18",-10.2642657805882,-9.46519419383968,-10.407760732281,-9.39826066375333,-9.37664377092474,-9.43918514483585,-9.40016972896786,-9.92442420709359,-10.425102022632
"19",-10.2640507954859,-9.60440474222809,-10.493445494954,-9.43135353085231,-9.47903870419637,-9.42797678231388,-9.50177220835328,-8.97451267987496,-9.75088645751732
"20",-10.2747179017709,-10.1053589411195,-11.3282299299314,-10.4742608225862,-10.461704254698,-10.5010799120904,-10.5304633900075,-10.3588947811577,-10.2874775346437
"21",-10.2629094906321,-10.6321987456791,-12.14880694882,-11.0358933774432,-11.0532241416891,-11.0084333623369,-11.0133291110661,-10.8317097039334,-11.1461932231837
"22",-10.2644070302257,-9.31030822774563,-10.6957785047095,-9.84276615996856,-9.84328202513694,-9.83397561371812,-9.82671495165189,-10.1360514911794,-10.4689342728043
"23",-10.2621389374515,-10.1236801919095,-10.4519790978445,-9.3199279390839,-9.32775686423108,-9.31489170628422,-9.28882089920179,-8.77802555941479,-10.3847288347185
"24",-10.2599355408546,-10.9105173505202,-11.8910266764126,-10.7499289143072,-10.7665335284612,-10.8119435033939,-10.8598281052296,-10.3878223461711,-11.0900778641446
"25",-10.2594210313557,-11.0203440520315,-11.8268207941147,-10.6963529119724,-10.6869026341603,-10.6724199170196,-10.6441927085951,-11.5358532064291,-10.9269189979961
"26",-10.2646289728373,-9.49986523615529,-10.7015960765969,-9.76686683048786,-9.81764730127335,-9.75337021691522,-9.80374935530718,-9.25477118880182,-10.5337664751406
"27",-10.2751996575588,-11.6658331071631,-12.6309055455099,-11.2578202238328,-11.2452861868388,-11.2672960225127,-11.2220042959699,-11.2866706098547,-11.6304697659843
"28",-10.2756401470799,-10.3184806774009,-11.6489028180374,-10.3582320747642,-10.3753005269079,-10.3641488456003,-10.3715911116686,-9.48641003593669,-8.99400637696685
"29",-10.259290170386,-9.04840295928807,-10.8497819249947,-9.78121751221149,-9.81200154538723,-9.78917080648354,-9.77966689882622,-7.4364318723792,-9.10895030829038
"30",-10.2727152496718,-10.4946072885198,-12.0180433569101,-10.5852862612343,-10.5848548107482,-10.5762839659675,-10.5891191846822,-11.2816702986941,-12.132382362335
"31",-10.2805814876617,-9.46958591962801,-12.0532101249746,-10.7579878148122,-10.7375560756528,-10.8157394830524,-10.794779355764,-9.39797415146583,-10.7843119264258
"32",-10.2610820440346,-9.83466668162364,-10.6369296752599,-9.62280671045672,-9.69856605396514,-9.59090630533197,-9.71635719936367,-7.96559034673048,-9.08213878003452
"33",-10.2804731910232,-10.3355335357055,-11.5592439319573,-10.5175781727632,-10.5200535368476,-10.5121633713287,-10.5086015620526,-10.8468396144374,-10.8744869393762
"34",-10.2757293574389,-11.0746328267124,-11.7049142580437,-10.5430453183869,-10.5489668536545,-10.5439043053951,-10.514058401368,-10.1164154165068,-10.6425024660544
"35",-10.2713812719928,-10.5405215210016,-11.3570462431911,-10.0538945862585,-10.0683892535896,-10.0389678754019,-10.099183740971,-8.88687158004277,-10.0769490735172
"36",-10.2611547709583,-9.67231306458523,-10.5577541141424,-9.65552228885565,-9.65519378873133,-9.64395546406635,-9.65063257815038,-8.65823637412472,-9.45387992535216
"37",-10.2799066773191,-10.290493957802,-11.1525867575014,-10.0492431170935,-10.0287648730982,-10.083079230472,-10.0470730157749,-7.63143800377651,-9.1772382710234
"38",-10.2615501799295,-11.4135778700312,-12.121946883747,-10.8236896270644,-10.7866725609854,-10.8016262967879,-10.8177188287921,-9.84989181715047,-11.5278145497346
"39",-10.2678974387988,-10.2048253561001,-11.0877275861924,-9.95120204352563,-9.93310202596376,-9.95910784090867,-9.92644630500059,-9.29769450011444,-10.580794397635
"40",-10.2838784512117,-11.3464580562479,-12.2557873931118,-10.9607210266814,-10.9318752811057,-10.9813365165958,-10.9671785339056,-10.3417054759945,-10.9179728121371
"41",-10.2657079932864,-10.6030191038128,-11.2890806408973,-10.1322459640607,-10.1398615133929,-10.1269539617037,-10.1275202312781,-9.25358664567622,-9.74799710948175
"42",-10.283080953538,-9.24633225124406,-11.6005863909156,-10.4988717024609,-10.4766405515045,-10.5033301614333,-10.5577471192799,-9.22516312813578,-10.3776132505945
"43",-10.2753674247792,-11.2911851874963,-12.0532224594086,-10.7713615433766,-10.7748139604249,-10.7058409573491,-10.6714225495055,-7.752540092897,-9.41279475704224
